parameter,EV sales share,EV stock share,Electricity demand,Electricity demand,Oil displacement Mbd,Oil displacement Mlge
powertrain,EV,EV,BEV,PHEV,EV,EV
year,,,,,,
2010,0.0139392325654625,0.0028258662205189,0.0,0.0,0.0001172822958324,6.783291339874268
2011,0.0751364901661872,0.0069308266974985,0.0,0.0,0.0002733191358856,15.826539039611816
2012,0.2005043774843216,0.0177989248186349,0.0,0.0,0.0006103688501752,35.34615707397461
2013,0.4221046268939972,0.039830558001995,0.0,0.0,0.0011993790976703,69.45790100097656
2014,0.6421603560447693,0.0750689357519149,0.0,0.0,0.0024312492460012,140.75868225097656
2015,1.1710731983184814,0.1430495977401733,501.017578125,89.72675323486328,0.004355798009783,252.17051696777344
2016,1.221008539199829,0.2237192541360855,715.9207153320312,156.8001251220703,0.0064801354892551,375.1695251464844
2017,1.669384241104126,0.3201581537723541,1021.2446899414062,236.6543731689453,0.0093842949718236,543.376220703125
2018,2.1723785400390625,0.4540244042873382,1490.833251953125,333.18731689453125,0.0134244477376341,777.4198608398438
2019,3.2117562294006348,0.6206307411193848,2294.9033203125,427.3616638183594,0.0208482537418603,1207.5997314453125
2020,9.962501525878906,1.16023051738739,4064.464111328125,755.6289672851562,0.0313226580619812,1814.9542236328125
2021,16.617809295654297,2.3125715255737305,6748.46875,1297.9923095703125,0.0657737702131271,3813.172119140625
